                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2332,                 4.2976,                 2.8431,                 1.5009,                0.00333,                      1,                  0.995,                0.34376,                0.00333,                      1,                  0.995,                0.65823,                 1.5936,                 1.5478,                 3.4095,                 1.7731,                      0,                      0,                      0
                      2,                 0.6554,                  2.724,                 2.4926,                0.94755,                0.00333,                      1,                  0.995,                 0.3886,                0.00333,                      1,                  0.995,                0.67219,                 1.5144,                 1.4583,                 3.1868,                 1.6688,             1.9934e-05,             1.9934e-05,             1.9934e-05
                      3,                 1.1628,                 2.5137,                 2.7973,                 1.4377,                0.00333,                      1,                  0.995,                0.59686,                0.00333,                      1,                  0.995,                0.80102,                 1.1422,                 1.2687,                 2.9934,                 1.3838,             3.9736e-05,             3.9736e-05,             3.9736e-05
                      4,                0.60642,                 1.4629,                 2.7055,                0.92316,                0.00333,                      1,                  0.995,                0.76244,                0.00333,                      1,                  0.995,                0.83582,                0.56933,                 1.1001,                 2.8806,                 1.0617,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      5,                0.47793,                 2.5841,                 2.4066,                 1.0175,                0.00333,                      1,                  0.995,                0.88738,                0.00333,                      1,                  0.995,                0.85963,                0.30789,                0.93738,                 2.7925,                0.91068,             7.8944e-05,             7.8944e-05,             7.8944e-05
                      6,                0.55857,                 1.3018,                 2.4655,                 1.0635,                0.00333,                      1,                  0.995,                0.93906,                0.00333,                      1,                  0.995,                0.87243,                0.19878,                0.81296,                 2.7725,                0.82646,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                0.45325,                  1.157,                 1.9028,                0.94303,                0.00333,                      1,                  0.995,                0.93906,                0.00333,                      1,                  0.995,                0.89255,                0.16906,                0.70165,                 2.7535,                0.79349,             0.00011762,             0.00011762,             0.00011762
                      8,                0.37204,                0.86805,                  1.948,                 0.8592,                0.00333,                      1,                  0.995,                0.96703,                0.00333,                      1,                  0.995,                0.91629,                0.19746,                0.62838,                 2.7119,                0.77375,             0.00013677,             0.00013677,             0.00013677
                      9,                0.50089,                 1.2431,                 2.0308,                0.88091,                0.00333,                      1,                  0.995,                0.96703,                0.00333,                      1,                  0.995,                 0.9064,                0.26693,                 0.6558,                 2.6786,                0.78012,             0.00015578,             0.00015578,             0.00015578
                     10,                0.26825,                0.59593,                 1.4359,                0.83533,                0.00333,                      1,                  0.995,                0.97503,                0.00333,                      1,                  0.995,                0.87679,                0.34542,                0.83237,                 2.6206,                0.80489,             0.00017465,             0.00017465,             0.00017465
                     11,                0.56507,                0.82971,                 1.2831,                 0.9429,                0.00333,                      1,                  0.995,                0.97503,                0.00333,                      1,                  0.995,                0.81738,                 0.3542,                 1.1033,                 2.5301,                0.82083,              0.0001934,              0.0001934,              0.0001934
                     12,                 0.4026,                0.53151,                 1.0261,                0.84459,                0.00333,                      1,                  0.995,                0.94504,                0.00333,                      1,                  0.995,                0.82989,                0.38724,                 1.1629,                 2.4054,                0.82165,             0.00021201,             0.00021201,             0.00021201
                     13,                0.39862,                0.58987,                 1.0525,                0.85081,                0.00982,                      1,                  0.995,                0.97503,                0.00982,                      1,                  0.995,                 0.8955,                0.28324,                0.92319,                 2.3263,                   0.77,              0.0002305,              0.0002305,              0.0002305
                     14,                0.25791,                0.42134,                0.91083,                0.87494,                0.86097,                      1,                  0.995,                  0.995,                0.86097,                      1,                  0.995,                0.91529,                0.19285,                0.72729,                 2.2991,                0.74088,             0.00024885,             0.00024885,             0.00024885
                     15,                0.36189,                0.51898,                0.91548,                0.84671,                 0.8837,                      1,                  0.995,                  0.995,                 0.8837,                      1,                  0.995,                0.91329,                0.22127,                0.61254,                 2.3284,                0.74354,             0.00026706,             0.00026706,             0.00026706
                     16,                0.53109,                0.52848,                 1.0289,                0.90796,                0.89477,                      1,                  0.995,                  0.995,                0.89477,                      1,                  0.995,                0.93124,                0.27651,                0.57508,                 2.4047,                0.75834,             0.00028515,             0.00028515,             0.00028515
                     17,                0.36321,                0.47769,                0.96721,                0.84194,                0.91372,                      1,                  0.995,                  0.995,                0.91372,                      1,                  0.995,                0.91567,                0.31527,                0.56454,                 2.4444,                0.76734,              0.0003031,              0.0003031,              0.0003031
                     18,                0.40174,                0.43726,                0.89676,                0.80599,                0.91372,                      1,                  0.995,                  0.995,                0.91372,                      1,                  0.995,                0.91567,                0.31527,                0.56454,                 2.4444,                0.76734,             0.00032093,             0.00032093,             0.00032093
                     19,                0.62757,                0.42218,                0.85785,                0.95004,                 0.9145,                      1,                  0.995,                  0.995,                 0.9145,                      1,                  0.995,                0.94704,                0.26349,                 0.5361,                 2.4017,                0.75612,             0.00033862,             0.00033862,             0.00033862
                     20,                0.36615,                0.33488,                0.87601,                0.81702,                 0.9145,                      1,                  0.995,                  0.995,                 0.9145,                      1,                  0.995,                0.94704,                0.26349,                 0.5361,                 2.4017,                0.75612,             0.00035617,             0.00035617,             0.00035617
                     21,                0.51089,                0.44587,                0.99797,                0.85697,                0.98488,                      1,                  0.995,                0.90528,                0.98488,                      1,                  0.995,                0.93549,                0.28901,                0.48727,                 2.2693,                0.75702,              0.0003736,              0.0003736,              0.0003736
                     22,                0.48779,                0.43436,                0.84653,                0.85005,                0.98488,                      1,                  0.995,                0.90528,                0.98488,                      1,                  0.995,                0.93549,                0.28901,                0.48727,                 2.2693,                0.75702,             0.00039089,             0.00039089,             0.00039089
                     23,                0.34186,                0.45832,                0.79563,                0.82846,                0.95586,                      1,                  0.995,                  0.995,                0.95586,                      1,                  0.995,                0.97503,                0.29782,                0.41999,                  2.098,                0.76578,             0.00040806,             0.00040806,             0.00040806
                     24,                0.48472,                0.39106,                 1.0927,                0.85689,                0.95586,                      1,                  0.995,                  0.995,                0.95586,                      1,                  0.995,                0.97503,                0.29782,                0.41999,                  2.098,                0.76578,             0.00042509,             0.00042509,             0.00042509
                     25,                0.37028,                0.40237,                0.80364,                0.83916,                0.94573,                      1,                  0.995,                0.91503,                0.94573,                      1,                  0.995,                  0.995,                0.43379,                0.34903,                 2.0762,                0.81548,             0.00044198,             0.00044198,             0.00044198
                     26,                0.49192,                0.45053,                0.84826,                0.88184,                0.94573,                      1,                  0.995,                0.91503,                0.94573,                      1,                  0.995,                  0.995,                0.43379,                0.34903,                 2.0762,                0.81548,             0.00045875,             0.00045875,             0.00045875
                     27,                0.51704,                0.36846,                0.82262,                 1.0459,                0.93079,                      1,                  0.995,                 0.8955,                0.93079,                      1,                  0.995,                  0.995,                0.43435,                 0.3452,                 2.1077,                0.83127,             0.00047538,             0.00047538,             0.00047538
                     28,                 0.4188,                0.39831,                0.77156,                0.97797,                0.93079,                      1,                  0.995,                 0.8955,                0.93079,                      1,                  0.995,                  0.995,                0.43435,                 0.3452,                 2.1077,                0.83127,             0.00049189,             0.00049189,             0.00049189
                     29,                0.44945,                0.43456,                0.82242,                0.83448,                0.92447,                      1,                  0.995,                 0.8955,                0.92447,                      1,                  0.995,                  0.995,                0.41175,                0.34381,                 2.1559,                0.80905,             0.00050826,             0.00050826,             0.00050826
                     30,                0.33533,                0.30477,                0.71297,                0.92937,                0.92447,                      1,                  0.995,                 0.8955,                0.92447,                      1,                  0.995,                  0.995,                0.41175,                0.34381,                 2.1559,                0.80905,             0.00052449,             0.00052449,             0.00052449
                     31,                 0.4291,                0.36164,                0.78923,                 0.8137,                0.93564,                      1,                  0.995,                0.96703,                0.93564,                      1,                  0.995,                  0.995,                 0.3081,                0.34148,                 2.0772,                0.77465,              0.0005406,              0.0005406,              0.0005406
                     32,                0.36436,                0.40577,                0.77223,                0.78882,                0.93564,                      1,                  0.995,                0.96703,                0.93564,                      1,                  0.995,                  0.995,                 0.3081,                0.34148,                 2.0772,                0.77465,             0.00055657,             0.00055657,             0.00055657
                     33,                0.49611,                0.45175,                0.78776,                0.88016,                0.95402,                      1,                  0.995,                  0.995,                0.95402,                      1,                  0.995,                  0.995,                0.22061,                0.36679,                 1.7812,                0.75674,             0.00057242,             0.00057242,             0.00057242
                     34,                0.41703,                 0.4237,                0.80748,                0.89436,                0.95402,                      1,                  0.995,                  0.995,                0.95402,                      1,                  0.995,                  0.995,                0.22061,                0.36679,                 1.7812,                0.75674,             0.00058813,             0.00058813,             0.00058813
                     35,                0.45542,                0.33514,                0.79193,                0.74318,                0.97659,                      1,                  0.995,                  0.995,                0.97659,                      1,                  0.995,                0.95504,                0.30665,                0.61364,                 1.6604,                0.77492,              0.0006037,              0.0006037,              0.0006037
                     36,                 0.5541,                0.74979,                 1.1514,                0.99379,                0.97659,                      1,                  0.995,                  0.995,                0.97659,                      1,                  0.995,                0.95504,                0.30665,                0.61364,                 1.6604,                0.77492,             0.00061915,             0.00061915,             0.00061915
                     37,                0.37563,                0.37887,                0.69985,                0.92978,                0.97339,                      1,                  0.995,                  0.995,                0.97339,                      1,                  0.995,                0.96703,                0.37894,                  0.644,                 1.7686,                0.83354,             0.00063446,             0.00063446,             0.00063446
                     38,                0.49945,                0.50644,                0.79654,                0.90709,                0.97339,                      1,                  0.995,                  0.995,                0.97339,                      1,                  0.995,                0.96703,                0.37894,                  0.644,                 1.7686,                0.83354,             0.00064965,             0.00064965,             0.00064965
                     39,                0.67054,                0.45568,                0.94565,                0.89589,                0.92231,                      1,                  0.995,                0.91503,                0.92231,                      1,                  0.995,                0.96703,                0.39815,                0.44784,                 2.0486,                0.83427,              0.0006647,              0.0006647,              0.0006647
                     40,                0.49697,                0.43402,                0.76673,                0.85337,                0.92231,                      1,                  0.995,                0.91503,                0.92231,                      1,                  0.995,                0.96703,                0.39815,                0.44784,                 2.0486,                0.83427,             0.00067961,             0.00067961,             0.00067961
                     41,                0.58628,                0.42852,                0.91991,                0.96645,                0.94261,                      1,                  0.995,                0.95913,                0.94261,                      1,                  0.995,                0.92504,                0.31438,                0.47579,                 2.2085,                0.78683,              0.0006944,              0.0006944,              0.0006944
                     42,                0.46081,                0.93262,                 0.8781,                0.95245,                0.94261,                      1,                  0.995,                0.95913,                0.94261,                      1,                  0.995,                0.92504,                0.31438,                0.47579,                 2.2085,                0.78683,             0.00070905,             0.00070905,             0.00070905
                     43,                0.47977,                0.39688,                 1.1466,                0.89237,                0.94714,                      1,                  0.995,                0.93387,                0.94714,                      1,                  0.995,                 0.8955,                0.32602,                0.61271,                  1.925,                0.77622,             0.00072358,             0.00072358,             0.00072358
                     44,                0.55677,                0.45062,                 1.1673,                0.88594,                0.94714,                      1,                  0.995,                0.93387,                0.94714,                      1,                  0.995,                 0.8955,                0.32602,                0.61271,                  1.925,                0.77622,             0.00073797,             0.00073797,             0.00073797
                     45,                0.67443,                0.53496,                 0.9622,                 1.1388,                0.98482,                      1,                  0.995,                0.89943,                0.98482,                      1,                  0.995,                  0.995,                 0.3037,                0.37736,                 1.4463,                0.77271,             0.00075222,             0.00075222,             0.00075222
                     46,                0.58296,                0.52716,                 0.9823,                0.78012,                0.98482,                      1,                  0.995,                0.89943,                0.98482,                      1,                  0.995,                  0.995,                 0.3037,                0.37736,                 1.4463,                0.77271,             0.00076635,             0.00076635,             0.00076635
                     47,                0.59108,                0.50765,                0.88993,                0.87561,                0.98628,                      1,                  0.995,                  0.995,                0.98628,                      1,                  0.995,                  0.995,                0.36521,                0.29804,                 1.6132,                0.80957,             0.00078034,             0.00078034,             0.00078034
                     48,                  0.566,                0.40861,                0.97754,                0.86712,                0.98628,                      1,                  0.995,                  0.995,                0.98628,                      1,                  0.995,                  0.995,                0.36521,                0.29804,                 1.6132,                0.80957,             0.00079421,             0.00079421,             0.00079421
                     49,                0.58485,                0.34504,                0.84967,                0.77258,                0.98057,                      1,                  0.995,                 0.8955,                0.98057,                      1,                  0.995,                  0.995,                 0.4764,                 0.3883,                 1.7783,                0.84364,             0.00080794,             0.00080794,             0.00080794
                     50,                0.49532,                0.52711,                0.86262,                0.84947,                0.98057,                      1,                  0.995,                 0.8955,                0.98057,                      1,                  0.995,                  0.995,                 0.4764,                 0.3883,                 1.7783,                0.84364,             0.00082153,             0.00082153,             0.00082153
                     51,                0.38385,                0.33774,                0.98018,                0.89593,                0.98294,                      1,                  0.995,                 0.8955,                0.98294,                      1,                  0.995,                0.97125,                0.58441,                0.47148,                 1.6224,                0.90669,               0.000835,               0.000835,               0.000835
                     52,                0.53388,                 0.4988,                0.94215,                 0.9178,                0.98294,                      1,                  0.995,                 0.8955,                0.98294,                      1,                  0.995,                0.97125,                0.58441,                0.47148,                 1.6224,                0.90669,             0.00084833,             0.00084833,             0.00084833
                     53,                0.56102,                0.52878,                 1.0679,                0.93741,                0.98294,                      1,                  0.995,                 0.8955,                0.98294,                      1,                  0.995,                0.97125,                0.58441,                0.47148,                 1.6224,                0.90669,             0.00086154,             0.00086154,             0.00086154
                     54,                0.52398,                0.40716,                  0.855,                0.90645,                0.98768,                      1,                  0.995,                 0.8955,                0.98768,                      1,                  0.995,                  0.995,                0.70236,                0.33899,                 1.4499,                0.96276,             0.00087461,             0.00087461,             0.00087461
                     55,                0.42658,                0.35324,                0.76344,                0.75758,                0.98768,                      1,                  0.995,                 0.8955,                0.98768,                      1,                  0.995,                  0.995,                0.70236,                0.33899,                 1.4499,                0.96276,             0.00088754,             0.00088754,             0.00088754
                     56,                0.60227,                0.31325,                 1.3296,                0.92674,                0.98768,                      1,                  0.995,                 0.8955,                0.98768,                      1,                  0.995,                  0.995,                0.70236,                0.33899,                 1.4499,                0.96276,             0.00090035,             0.00090035,             0.00090035
                     57,                0.64442,                0.45345,                  1.106,                  1.005,                0.98938,                      1,                  0.995,                 0.8955,                0.98938,                      1,                  0.995,                  0.995,                0.48354,                0.34965,                 1.3267,                 0.8699,             0.00091302,             0.00091302,             0.00091302
                     58,                0.97131,                0.59075,                 1.3929,                0.97123,                0.98938,                      1,                  0.995,                 0.8955,                0.98938,                      1,                  0.995,                  0.995,                0.48354,                0.34965,                 1.3267,                 0.8699,             0.00092557,             0.00092557,             0.00092557
                     59,                0.61636,                0.46308,                 1.0721,                0.91663,                0.98938,                      1,                  0.995,                 0.8955,                0.98938,                      1,                  0.995,                  0.995,                0.48354,                0.34965,                 1.3267,                 0.8699,             0.00093798,             0.00093798,             0.00093798
                     60,                0.58161,                0.46955,                 1.0159,                0.97448,                0.98882,                      1,                  0.995,                 0.8955,                0.98882,                      1,                  0.995,                  0.995,                0.37027,                0.34181,                 1.3796,                0.84562,             0.00095025,             0.00095025,             0.00095025
                     61,                0.75523,                0.60029,                 1.2925,                0.92827,                0.98882,                      1,                  0.995,                 0.8955,                0.98882,                      1,                  0.995,                  0.995,                0.37027,                0.34181,                 1.3796,                0.84562,              0.0009624,              0.0009624,              0.0009624
                     62,                0.64002,                0.58555,                0.98926,                0.89876,                0.98882,                      1,                  0.995,                 0.8955,                0.98882,                      1,                  0.995,                  0.995,                0.37027,                0.34181,                 1.3796,                0.84562,             0.00097441,             0.00097441,             0.00097441
                     63,                0.42512,                0.31202,                0.81278,                0.79483,                0.98994,                      1,                  0.995,                0.91134,                0.98994,                      1,                  0.995,                  0.995,                0.48699,                0.32528,                 1.4407,                0.90909,              0.0009863,              0.0009863,              0.0009863
                     64,                0.46341,                0.32863,                 1.0008,                0.81204,                0.98994,                      1,                  0.995,                0.91134,                0.98994,                      1,                  0.995,                  0.995,                0.48699,                0.32528,                 1.4407,                0.90909,             0.00099805,             0.00099805,             0.00099805
                     65,                 0.6739,                0.33998,                0.83231,                0.92662,                0.98994,                      1,                  0.995,                0.91134,                0.98994,                      1,                  0.995,                  0.995,                0.48699,                0.32528,                 1.4407,                0.90909,              0.0010097,              0.0010097,              0.0010097
                     66,                0.60632,                0.47159,                0.96414,                0.96518,                0.98912,                      1,                  0.995,                 0.8955,                0.98912,                      1,                  0.995,                  0.995,                0.46264,                0.31504,                 1.3732,                0.86885,              0.0010211,              0.0010211,              0.0010211
                     67,                0.68397,                0.95556,                0.95081,                0.94575,                0.98912,                      1,                  0.995,                 0.8955,                0.98912,                      1,                  0.995,                  0.995,                0.46264,                0.31504,                 1.3732,                0.86885,              0.0010325,              0.0010325,              0.0010325
                     68,                0.70456,                0.36964,                0.95804,                 1.0413,                0.98912,                      1,                  0.995,                 0.8955,                0.98912,                      1,                  0.995,                  0.995,                0.46264,                0.31504,                 1.3732,                0.86885,              0.0010437,              0.0010437,              0.0010437
                     69,                0.65055,                0.39506,                0.91732,                0.96799,                 0.9835,                      1,                  0.995,                  0.995,                 0.9835,                      1,                  0.995,                0.97103,                0.46392,                0.43023,                 1.3821,                0.87662,              0.0010548,              0.0010548,              0.0010548
                     70,                0.53147,                0.50057,                0.90985,                0.97116,                 0.9835,                      1,                  0.995,                  0.995,                 0.9835,                      1,                  0.995,                0.97103,                0.46392,                0.43023,                 1.3821,                0.87662,              0.0010658,              0.0010658,              0.0010658
                     71,                0.69811,                0.57499,                 1.0835,                0.87207,                 0.9835,                      1,                  0.995,                  0.995,                 0.9835,                      1,                  0.995,                0.97103,                0.46392,                0.43023,                 1.3821,                0.87662,              0.0010766,              0.0010766,              0.0010766
                     72,                0.53499,                 0.3336,                0.85759,                0.92026,                0.98754,                      1,                  0.995,                 0.8955,                0.98754,                      1,                  0.995,                0.95504,                0.53945,                0.47435,                 1.1658,                0.92661,              0.0010873,              0.0010873,              0.0010873
                     73,                0.55202,                0.33868,                 1.0168,                0.91634,                0.98754,                      1,                  0.995,                 0.8955,                0.98754,                      1,                  0.995,                0.95504,                0.53945,                0.47435,                 1.1658,                0.92661,              0.0010979,              0.0010979,              0.0010979
